"","X.Bacteroides..pectinophilus.group","X.Clostridium..innocuum.group","X.Eubacterium..brachy.group","X.Eubacterium..eligens.group","X.Eubacterium..fissicatena.group","X.Eubacterium..hallii.group","X.Eubacterium..nodatum.group","X.Eubacterium..oxidoreducens.group","X.Eubacterium..ruminantium.group","X.Eubacterium..siraeum.group","X.Eubacterium..ventriosum.group","X.Eubacterium..xylanophilum.group","X.Ruminococcus..gauvreauii.group","X.Ruminococcus..gnavus.group","X.Ruminococcus..torques.group","Acetanaerobacterium","Acetitomaculum","Acidaminococcus","Acidipropionibacterium","Acinetobacter","Actinomyces","Actinotignum","Adlercreutzia","Aerosphaera","Agathobacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerosporobacter","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","Asteroleplasma","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Burkholderia.Caballeronia.Paraburkholderia","Butyricicoccus","Butyricimonas","Butyrivibrio","CAG.352","CAG.56","CAG.873","Caldicoprobacter","Campylobacter","Candidatus.Soleaferrea","Candidatus.Stoquefichus","Caproiciproducens","Carnobacterium","Catabacter","Catenibacillus","Catenibacterium","Catenisphaera","CHKCI001","CHKCI002","Christensenella","Christensenellaceae.R.7.group","Citrobacter","Cloacibacillus","Clostridium.sensu.stricto.1","Clostridium.sensu.stricto.3","Colidextribacter","Collinsella","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Coriobacteriaceae.UCG.002","Coriobacteriaceae.UCG.003","Corynebacterium","Cuneatibacter","Cutibacterium","Defluviitaleaceae.UCG.011","Delftia","Desulfovibrio","Dialister","Dielma","DNF00809","Dorea","DTU089","Eggerthella","Eisenbergiella","Elusimicrobium","Enorma","Enterobacter","Enterococcus","Enterorhabdus","Enteroscipio","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae.UCG.003","Erysipelotrichaceae.UCG.006","Escherichia.Shigella","Eubacterium","Ezakiella","F0332","Faecalibacterium","Faecalicoccus","Faecalitalea","Family.XIII.AD3011.group","Family.XIII.UCG.001","Fastidiosipila","FD2005","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fusicatenibacter","Fusobacterium","Gallicola","Gardnerella","GCA.900066575","GCA.900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Hafnia.Obesumbacterium","Harryflintia","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Intestinibacter","Intestinimonas","Jonquetella","Kandleria","Klebsiella","Lachnoclostridium","Lachnospira","Lachnospiraceae.AC2044.group","Lachnospiraceae.FCS020.group","Lachnospiraceae.FE2018.group","Lachnospiraceae.NC2004.group","Lachnospiraceae.ND3007.group","Lachnospiraceae.NK4A136.group","Lachnospiraceae.NK4B4.group","Lachnospiraceae.UCG.001","Lachnospiraceae.UCG.003","Lachnospiraceae.UCG.004","Lachnospiraceae.UCG.008","Lachnospiraceae.UCG.009","Lachnospiraceae.UCG.010","Lachnotalea","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lawsonella","Lentilactobacillus","Leuconostoc","Libanicoccus","Ligilactobacillus","Limosilactobacillus","Lysinibacillus","Mailhella","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Microbacterium","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Murdochiella","Murimonas","Negativibacillus","Negativicoccus","NK4A214.group","Oceanobacillus","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paenibacillus","Paludicola","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvibacter","Parvimonas","Pediococcus","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Pluralibacter","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae.Ga6A1.group","Prevotellaceae.NK3B31.group","Prevotellaceae.UCG.001","Prevotellaceae.UCG.003","Propionibacterium","Proteus","Pseudoclavibacter","Pseudoflavonifractor","Pseudomonas","Pseudoscardovia","Pseudoxanthomonas","Pygmaiobacter","Pyramidobacter","Ralstonia","Raoultella","Raoultibacter","Rikenella","Rikenellaceae.RC9.gut.group","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5.A14a","Sanguibacteroides","Scardovia","Sellimonas","Senegalimassilia","Shuttleworthia","Slackia","Solibacillus","Solobacterium","Staphylococcus","Stenotrophomonas","Streptococcus","Streptomyces","Subdoligranulum","Sutterella","Synergistes","Terrisporobacter","TM7x","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5.1.2E3","UCG.002","UCG.003","UCG.004","UCG.005","UCG.007","UCG.008","UCG.009","V9D2013.group","Varibaculum","Veillonella","Victivallis","W5053","Weissella","status"
"ERR3046536",0,59,0,0,0,1601,0,3,0,0,0,0,0,0,301,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,94,0,5912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,293,0,0,0,41,0,0,17,0,0,0,0,0,0,0,0,3730,0,0,0,0,0,0,0,0,0,0,0,78,0,441,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,344,0,0,1660,0,192,49,0,0,2150,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3825,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046537",0,115,21,188,0,0,7,0,0,1428,0,12,27,0,333,0,0,0,0,0,0,0,0,0,0,453,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,768,130,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,123,705,0,0,1276,0,43,178,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,19,0,0,0,0,0,0,0,61,0,0,36,0,0,8,157,0,0,20,99,0,37,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,50,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,456,0,261,0,0,0,0,41,0,0,1381,52,0,0,0,0,0,312,15,0,0,0,0,0,0,43,0,0,0,0,0,150,0,73,0,0,161,0,0,0,20,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,27,113,21,0,0,3089,0,0,0,199,0,0,0,0,0,0,0,13,0,1329,18,0,0,0,477,0,0,76,0,1051,0,0,415,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046538",0,228,323,0,0,1909,0,0,0,0,55,5,22,32,28,0,0,0,0,0,31,0,32,0,0,0,0,0,0,0,0,0,7,0,0,0,0,117,0,0,0,0,0,0,0,0,0,7,0,135,0,7257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,10,0,6,0,0,0,0,60,0,0,0,0,0,5,0,0,0,0,0,670,0,26,0,0,10,0,0,0,0,0,27,298,0,0,0,0,0,61,0,0,145,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,15,0,0,0,0,11038,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,218,161,0,0,173,0,0,0,0,11,0,0,0,0,0,0,292,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046539",0,0,68,63,0,0,0,0,0,36,0,24,0,0,1218,0,0,0,0,0,0,0,0,0,0,40,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,227,0,0,0,0,0,0,0,0,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,645,0,0,43,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,121,42,0,0,373,0,0,15,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,46,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,222,0,93,0,0,31,0,0,0,0,0,753,0,0,5,0,45,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,14,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,330,15,0,0,0,7,0,0,0,0,70,0,0,35,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046540",0,79,0,0,0,6429,0,0,0,0,0,0,48,169,38,0,0,0,0,0,185,0,0,0,54,14,0,0,0,0,0,0,16,0,0,0,0,1238,0,0,0,0,0,0,0,0,0,3,0,3744,0,12105,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,17,0,0,17214,0,270,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,134,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1756,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046541",0,0,0,0,0,40,0,0,0,0,0,0,10,0,16,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,179,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,20,0,0,152,0,0,42,0,0,0,10,121,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2097,0,0,0,0,4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,6221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,0,0,0,539,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046542",0,62,0,0,0,1114,0,0,0,0,10,0,0,0,7,0,0,0,0,0,7,0,0,0,53,0,26,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,0,42,0,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,294,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,725,0,35,0,0,0,0,5653,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,474,0,0,0,163,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,824,0,7,0,1522,0,61,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,58,0,0,0,0,0,0,84,0,0,145,0,19,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046543",0,0,0,0,0,4255,0,0,0,0,0,0,0,0,66,0,0,0,0,0,9,0,124,0,66,4,0,0,0,0,0,0,0,0,0,0,0,2003,0,0,0,0,0,0,0,0,0,0,0,72,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6502,0,0,7,184,0,0,1528,0,29,169,0,15,0,4,0,0,0,0,0,3,0,0,0,0,0,333,0,7,0,0,0,0,373,0,0,0,0,64,0,38,0,0,0,27,0,0,46,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,219,0,0,0,0,890,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,1164,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,247,0,24,0,0,263,0,154,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046544",0,0,0,0,0,13832,0,4,0,10,5,0,9,0,213,0,0,0,0,0,40,0,352,0,177,16,25,0,0,0,0,0,0,0,0,0,0,5377,0,0,0,0,0,0,0,0,0,74,0,289,0,4987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15531,0,0,27,810,0,0,3602,0,92,479,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,1205,0,42,0,0,0,0,979,0,0,0,48,159,0,95,0,0,0,47,0,0,71,0,0,0,0,7,0,109,0,0,0,0,0,0,0,0,48,0,0,0,0,1101,0,0,0,0,1817,0,0,0,0,32,0,0,0,0,52,16,6,0,0,0,0,3,0,4,0,0,0,0,271,0,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861,67,0,0,873,0,0,0,0,0,0,0,0,0,0,0,634,0,131,0,0,492,0,340,0,0,0,0,71,0,0,40,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046545",0,0,0,0,0,1746,0,0,0,0,0,0,17,0,0,0,0,0,0,0,281,0,132,0,0,13,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,16,0,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,19742,0,0,2045,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,14,0,0,0,128,0,0,2218,0,137,0,0,0,0,0,18,2793,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,866,0,0,0,0,20607,22,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,3201,0,0,25,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81274,103,0,0,34,0,0,0,0,0,0,0,0,0,0,0,163,0,303,0,0,274,0,357,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046546",0,6,10,0,25,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,122,0,18,1409,10,0,0,0,0,0,18,0,0,0,0,263,0,0,0,0,0,0,0,0,0,110,16,1105,0,5140,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,308,0,87,0,473,0,0,9,0,0,0,0,0,0,0,0,48,0,17,0,0,0,0,0,0,0,0,0,1664,0,1238,0,0,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,990,0,0,0,0,0,0,0,260,19,0,0,7,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,167,0,0,0,0,0,0,0,0,2,0,0,414,0,2247,0,0,0,0,69,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046547",0,0,0,0,0,650,0,0,0,0,0,0,0,0,329,0,0,0,0,0,11,0,13,0,12,0,16,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,55,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,7917,0,0,744,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,101,0,13,0,0,0,0,105,286,0,0,0,75,0,10,23,0,12,68,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,4204,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25,0,20,12,0,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9024,89,0,0,14,0,0,0,9,87,0,0,0,0,0,0,290,0,541,0,0,3691,0,1785,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046548",0,0,56,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,170,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,0,60,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,275,0,0,0,0,0,0,82,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,86,0,0,0,0,0,4,0,456,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,166,0,13,0,0,0,0,170,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046549",0,0,8,0,31,42861,0,2,0,0,10,0,261,0,342,0,0,0,0,0,36,0,671,0,114,38,9,0,0,0,0,0,19,0,0,0,0,940,0,0,0,0,0,0,0,0,0,308,0,46,0,56313,0,0,13,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,75,181,0,0,594,0,0,1319,0,0,0,70,0,0,0,0,0,0,0,0,51,0,0,1814,0,15,0,0,0,0,0,0,0,0,356,0,0,952,0,0,13,450,0,0,194,0,0,0,0,0,0,39,0,54,0,0,0,0,0,12,93,0,0,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,0,0,89,16,20,0,447,0,0,0,0,0,0,0,0,0,0,0,8056,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,0,0,1193,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,77,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,415,0,0,780,0,0,0,0,0,0,0,0,0,0,0,4915,0,7948,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046550",0,200,0,0,0,3470,0,0,0,23,0,0,11,1742,165,0,0,0,0,0,83,0,855,0,150,63,362,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,2,0,0,0,119,5,0,0,15493,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0,47500,0,23,0,0,0,0,1047,0,0,0,0,0,0,0,0,6,0,0,3566,0,74,0,0,0,0,494,1334,0,10,76,0,0,39,216,0,38,620,0,95,38,0,0,0,0,9,0,37,0,43,0,0,0,0,0,0,30,0,0,0,0,0,0,644,0,0,54607,9,0,0,0,0,75,0,0,0,2,9,38,0,0,0,0,11,0,0,0,1547,0,3991,0,0,15038,0,0,24,0,346,5085,0,0,17,0,0,0,0,0,0,0,0,0,356,16,0,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,13,0,0,0,0,15326,3122,0,0,1949,0,0,0,0,0,0,0,0,0,0,0,17225,0,849,0,0,482,0,1497,0,0,10,0,50,0,0,49,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046551",0,0,0,0,0,0,2,5,0,0,0,0,0,0,11,0,0,0,0,0,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,138,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6179,0,0,54,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,107,0,0,7,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5101,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,12,0,471,0,0,28,0,132,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,"PD"
"ERR3046552",0,0,0,0,0,5521,0,0,0,0,13,0,11,0,1345,0,0,0,0,0,74,0,1951,0,0,4,13,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,19,0,1082,0,6998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,72,0,0,130,0,0,0,2482,0,0,0,0,0,0,0,0,6,0,0,1387,0,43,0,0,0,0,21,0,0,0,36,0,0,241,0,0,0,331,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1642,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,73,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4015,40,0,0,737,0,0,0,0,0,0,0,0,72,0,0,132,0,1134,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Control"
"ERR3046553",0,0,0,0,9,2846,0,0,0,0,72,0,147,0,2175,0,0,0,0,0,57,0,197,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,3,0,0,0,28,0,171,0,8213,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2617,0,0,0,1203,0,0,870,0,0,813,0,0,0,97,0,0,7,0,0,0,0,0,0,0,0,4010,0,0,0,0,0,0,61,100,0,0,0,623,0,0,0,0,0,744,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935,0,0,0,0,5114,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,0,318,83,0,0,887,0,0,0,0,125,0,0,0,0,0,0,468,0,410,0,0,851,0,46,0,0,0,0,34,0,0,16,0,0,0,0,0,0,0,0,0,"Control"
"ERR3046554",0,111,71,0,0,14798,0,0,0,0,0,0,7,0,788,0,0,0,0,0,153,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,4368,0,0,0,0,0,0,0,0,0,7,0,8,0,8609,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,777,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,18560,0,219,0,0,102,0,0,0,0,0,0,3404,0,0,0,0,0,37,0,337,3,0,0,0,0,0,0,49,0,3258,0,0,0,0,0,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Control"
