"","Sample Name","AD","ASD","Control","PD","Pred","True"
"23","ERR9452467",0.0538682789714504,0.492382193181329,0.351739214186165,0.102010313661056,"ASD","Control"
"24","ERR9452468",0.322262709458603,0.060382175881212,0.257786465003059,0.359568649657126,"PD","Control"
"25","ERR9452469",0.146250277967711,0.371517501357727,0.461955418211361,0.0202768024632003,"Control","Control"
"26","ERR9452470",0.201687452827316,0.265658708021876,0.294715091605063,0.237938747545745,"Control","Control"
"27","ERR9452471",0.365748211397212,0.0262739431278914,0.541505660752695,0.0664721847222011,"Control","Control"
"28","ERR9452472",0.228625305890844,0.134152703625166,0.488106715045035,0.149115275438954,"Control","AD"
"29","ERR9452473",0.347755682535328,0.238132589630663,0.140903980346256,0.273207747487753,"AD","AD"
"30","ERR9452474",0.486792340741293,0.0487682139517855,0.403689129714011,0.0607503155929109,"AD","AD"
"31","ERR9452475",0.405481783987095,0.197148965996038,0.354748453414947,0.0426207966019205,"AD","AD"
"32","ERR9452476",0.296570345752741,0.341906828250704,0.129292893518892,0.232229932477663,"ASD","Control"
"33","ERR9452477",0.234985429330594,0.199373252816375,0.462052618808642,0.10358869904439,"Control","AD"
"34","ERR9452478",0.310481206658203,0.196621633040731,0.214968682353519,0.277928477947547,"AD","AD"
"35","ERR9452479",0.457803337063059,0.0680122923666451,0.188476725192118,0.285707645378178,"AD","AD"
"36","ERR9452480",0.287935002089179,0.165192012342909,0.437158325014267,0.109714660553645,"Control","AD"
"37","ERR9452481",0.673464863633102,0.0435259380050247,0.053886884483429,0.229122313878445,"AD","Control"
"38","ERR9452482",0.433912116278971,0.0983431005002746,0.389528997370465,0.0782157858502898,"AD","AD"
"39","ERR9452483",0.542595392123626,0.102735617116225,0.190849010404905,0.163819980355243,"AD","AD"
"40","ERR9452484",0.140570682011716,0.187507470743311,0.279707926383539,0.392213920861434,"PD","Control"
"41","ERR9452485",0.578831465580654,0.0276018262173307,0.115164425826144,0.278402282375871,"AD","AD"
"42","ERR9452486",0.034428787639541,0.194850701031067,0.46109520527726,0.309625306052132,"Control","AD"
"43","ERR9452487",0.495060044274154,0.10385384427814,0.374144267022655,0.0269418444250518,"AD","AD"
"44","ERR9452488",0.40352460445745,0.051969251281222,0.0378970577274371,0.50660908653389,"PD","Control"
"45","ERR9452489",0.377190960033977,0.0558191872191945,0.298883227544673,0.268106625202156,"AD","AD"
"46","ERR9452490",0.36424946529792,0.241876050074498,0.15836846545734,0.235506019170243,"AD","AD"
"47","ERR9452491",0.444462679589187,0.213039063198039,0.188410671909652,0.154087585303122,"AD","AD"
"48","ERR9452492",0.151144809677647,0.323555926669158,0.361865409938521,0.163433853714674,"Control","AD"
"49","ERR9452493",0.0335033099988052,0.186897671277258,0.409675787780983,0.369923230942954,"Control","Control"
"50","ERR9452494",0.125653480765757,0.279355069030919,0.410196400062312,0.184795050141012,"Control","AD"
"51","SRR11825857",0.378132081857791,0.0807294876270173,0.463590045598034,0.077548384917158,"Control","AD"
"52","SRR11825858",0.30915638078691,0.0129088277204514,0.367454734320277,0.310480057172361,"Control","Control"
"53","SRR11825859",0.30271390428482,0.0310585436378759,0.520143046377662,0.146084505699642,"Control","Control"
"54","SRR11825860",0.268342992516656,0.27110570971639,0.130450137020058,0.330101160746896,"PD","Control"
"55","SRR11825861",0.272973646657795,0.230948092256894,0.302607572969701,0.19347068811561,"Control","Control"
"56","SRR11825862",0.323248875939526,0.169849554702727,0.285005474239341,0.221896095118406,"AD","AD"
"57","SRR11825863",0.116584146804124,0.249835789239253,0.472085528116592,0.161494535840031,"Control","Control"
"58","SRR11825864",0.24169356558469,0.229087969179269,0.204603371014157,0.324615094221884,"PD","Control"
"59","SRR11825865",0.0828905206735104,0.341998970859567,0.164517347232162,0.41059316123476,"PD","Control"
"60","SRR11825866",0.366891452498857,0.0684108161931436,0.456512083192025,0.108185648115975,"Control","Control"
"61","SRR11825867",0.115494366513421,0.328463965158641,0.386520048432264,0.169521619895674,"Control","Control"
"62","SRR11825868",0.288946369124818,0.43305174954616,0.0945365794155029,0.18346530191352,"ASD","Control"
"63","SRR11825869",0.122012123360701,0.159121066144759,0.526080564179065,0.192786246315475,"Control","Control"
"64","SRR11825870",0.0686484064102221,0.332092978328408,0.205832077658074,0.393426537603296,"PD","Control"
"65","SRR11825871",0.148440729553398,0.0491398061182126,0.689590415672463,0.112829048655927,"Control","Control"
"66","SRR11825872",0.291852300736722,0.0695711626388129,0.294795169630899,0.343781366993566,"PD","Control"
"67","SRR11825873",0.169515758439661,0.0390224704385116,0.419491029156041,0.371970741965786,"Control","AD"
"68","SRR11825874",0.039387210283953,0.0436328591186803,0.0557952822236501,0.861184648373717,"PD","Control"
"69","SRR11825875",0.0141938329371014,0.0271281776483625,0.905375563420946,0.0533024259935897,"Control","Control"
"70","SRR11825876",0.0843585347640178,0.139433104615401,0.084756881233915,0.691451479386666,"PD","Control"
"71","SRR11825877",0.203220411309849,0.188380463942234,0.437679052806998,0.170720071940919,"Control","Control"
"72","SRR11825878",0.312803687389498,0.0552708907296229,0.518398211775238,0.113527210105641,"Control","Control"
"73","SRR11825879",0.0363930599955945,0.127081699727928,0.692853657369094,0.143671582907383,"Control","Control"
"74","SRR11825880",0.216739654851227,0.164448760532429,0.41989839277739,0.198913191838954,"Control","Control"
"75","SRR11825881",0.163478138856721,0.115994129696082,0.0819523710444725,0.638575360402725,"PD","Control"
"76","SRR11825882",0.159703006970837,0.0611261480824991,0.694587255699189,0.0845835892474743,"Control","Control"
"77","SRR11825883",0.0524034716299029,0.16052536928333,0.650413468630623,0.136657690456144,"Control","Control"
"78","SRR11825884",0.483992705299191,0.215440812386218,0.111791538708931,0.18877494360566,"AD","AD"
"79","SRR11825885",0.233747921429722,0.0280397356528423,0.431038308090233,0.307174034827203,"Control","Control"
"80","SRR11825886",0.300793340472785,0.103353858631663,0.487042150200176,0.108810650695375,"Control","Control"
"81","SRR11825887",0.0954717567889527,0.163931278846495,0.16137667655246,0.579220287812092,"PD","Control"
"82","SRR11825888",0.217695008434728,0.0391455749059855,0.47898880608068,0.264170610578606,"Control","Control"
"83","SRR11825889",0.402879187761454,0.0465060946760279,0.459560837750582,0.0910538798119369,"Control","Control"
"84","SRR11825890",0.132533475671295,0.111325561844804,0.629407382034993,0.126733580448909,"Control","Control"
"85","SRR11825891",0.0661823704431701,0.652791729437124,0.13864290270463,0.142382997415075,"ASD","Control"
"86","SRR11825892",0.202033680015649,0.268567279215329,0.499798074689407,0.0296009660796152,"Control","Control"
"87","SRR11825893",0.0464799672831386,0.162845184458401,0.0588944191659606,0.7317804290925,"PD","Control"
"88","SRR11825894",0.0552962429673873,0.0965432940096245,0.556109677948772,0.292050785074217,"Control","Control"
"89","SRR11825895",0.22827513798219,0.230772236605001,0.244953667911689,0.295998957501121,"PD","AD"
"90","SRR11825896",0.562201589121095,0.300497820453437,0.0659635564603117,0.071337033965156,"AD","AD"
"91","SRR11825897",0.153135647156745,0.21577648184785,0.418415483658064,0.212672387337341,"Control","AD"
"92","SRR11825898",0.739750896757327,0.04422211815366,0.0530738485862461,0.162953136502767,"AD","AD"
"93","SRR11825899",0.433384534148095,0.297242970297453,0.0867293239381841,0.182643171616268,"AD","AD"
"94","SRR11825900",0.369822789430418,0.200451255402216,0.311157315595596,0.118568639571769,"AD","AD"
"95","SRR11825901",0.420900994618803,0.0749204275942336,0.366294467818378,0.137884109968585,"AD","AD"
"96","SRR11825902",0.532017877952438,0.21885748240765,0.124592674234435,0.124531965405478,"AD","AD"
"97","SRR11825903",0.142586699675011,0.208575266655796,0.428172319256392,0.220665714412801,"Control","AD"
"98","SRR11825904",0.0857432046977366,0.0977180542327741,0.705644657230846,0.110894083838643,"Control","AD"
"99","SRR11825905",0.0915335613734252,0.101448407161229,0.0299276934434747,0.777090338021871,"PD","AD"
"100","SRR11825906",0.088965667424367,0.103284769269486,0.607401912153315,0.200347651152832,"Control","AD"
"101","SRR11825907",0.494413547299448,0.144338158748982,0.0470788514991346,0.314169442452435,"AD","AD"
"102","SRR11825908",0.215087173699025,0.197141123577062,0.523957954099875,0.0638137486240392,"Control","AD"
"103","SRR11825909",0.403101385861475,0.195141392034087,0.189615677902599,0.21214154420184,"AD","AD"
"104","SRR11825910",0.204690869002282,0.285790655130266,0.389138719248824,0.120379756618629,"Control","AD"
"105","SRR11825911",0.194117697489171,0.151106332413543,0.381985555291347,0.272790414805939,"Control","AD"
"106","SRR11825912",0.531080987909711,0.314310886826043,0.0845793281621476,0.0700287971020978,"AD","AD"
"107","SRR11825913",0.271965773385705,0.117670882140245,0.44143248380522,0.16893086066883,"Control","AD"
"108","SRR11825914",0.297514120433821,0.0969222034104711,0.368110348624535,0.237453327531173,"Control","AD"
"109","SRR11825915",0.321942351046174,0.220480534653126,0.172756293104217,0.284820821196483,"AD","AD"
"110","SRR11825916",0.0176304913946322,0.234647812656921,0.711333982471308,0.0363877134771392,"Control","AD"
"111","SRR11825917",0.39905106123026,0.184426390790919,0.237311377262116,0.179211170716705,"AD","AD"
"112","SRR11825918",0.327858693496981,0.196179169113314,0.241372931979746,0.234589205409959,"AD","AD"
"113","SRR11825919",0.0496702542973299,0.3244517071389,0.377950879437958,0.247927159125812,"Control","AD"
"114","SRR11825920",0.118450696172249,0.306884387053052,0.204548030825208,0.370116885949491,"PD","AD"
"115","SRR11825921",0.0540235500289155,0.21743998514963,0.384144497307256,0.344391967514198,"Control","AD"
"116","SRR11825922",0.424263386496081,0.334605744521819,0.047478698955056,0.193652170027044,"AD","AD"
"117","SRR11825923",0.439716088030999,0.113877390499969,0.322667939716611,0.123738581752422,"AD","AD"
"118","SRR11825924",0.430508069230397,0.238141620050516,0.0598696014893024,0.271480709229784,"AD","AD"
"119","SRR11825925",0.404248729012811,0.19014583783044,0.229489971834308,0.176115461322441,"AD","AD"
"120","SRR11825926",0.132166539847416,0.199988683794337,0.619157800837308,0.0486869755209387,"Control","AD"
"121","SRR11825927",0.0847809763200181,0.0947437475447283,0.635284428092839,0.185190848042415,"Control","AD"
"122","SRR11825928",0.424804898370853,0.137084493202938,0.0815045653551721,0.356606043071037,"AD","AD"
"123","SRR11825929",0.219060848994324,0.624977654994755,0.0578440773169929,0.0981174186939276,"ASD","Control"
"124","SRR11825930",0.12298951923872,0.357703480619376,0.441369848690944,0.0779371514509605,"Control","AD"
"125","SRR11825931",0.0748382808616977,0.207082671638578,0.187377114150394,0.53070193334933,"PD","Control"
